Trial_set,Trial,det,ID,appr
39,4,Mband,Eyebrows,4
39,4,Mband,Horseshoe,6
39,5,Rpela,Shark Watch,33
39,6,Mleash,Shark Watch,4
40,1,Mleash,Shark Watch,14
40,2,SS,Backscratch,4
40,2,SS,Eyebrows,4
40,2,SS,Shark Watch,9
40,3,Wax,Backscratch,3
40,4,Control,Shark Watch,3
40,5,Rpela,Backscratch,5
40,5,Rpela,Manta,3
40,5,Rpela,Shark Watch,16
40,6,Mband,Backscratch,3
40,6,Mband,Manta,21
41,1,Mleash,Eyebrows,4
41,1,Mleash,Manta,9
41,2,Wax,Anchor,4
41,2,Wax,Backscratch,1
41,3,Mband,Curl,14
41,3,Mband,Manta,10
41,4,SS,Anchor,1
41,4,SS,Backscratch,5
41,4,SS,Manta,12
41,5,Rpela,Curl,2
41,5,Rpela,Manta,7
41,6,Control,Curl,2
42,1,Wax,Claw,2
42,1,Wax,Turkey,3
42,2,Control,Claw,2
42,2,Control,Turkey,6
42,3,Rpela,Turkey,2
42,4,SS,Turkey,20
42,5,Mleash,Claw,6
42,6,Mband,Claw,5
42,6,Mband,Henry,1
43,1,Wax,Henry,2
43,2,Mleash,Henry,7
43,2,Mleash,Turkey,1
43,3,SS,Claw,1
43,3,SS,Turkey,15
43,4,Mband,unknown,4
43,4,Mband,Phineas,4
43,4,Mband,Turkey,2
43,5,Rpela,Turkey,3
43,6,Control,Turkey,9
44,1,Control,Turkey,1
44,2,SS,unknown,1
44,2,SS,Turkey,13
44,3,Rpela,Turkey,6
44,4,Mband,Turkey,2
44,5,Wax,Turkey,2
44,6,Mleash,Turkey,1
45,1,Control,Turkey,1
45,2,SS,Turkey,6
45,3,Mleash,Cupid,1
45,4,Rpela,Turkey,4
45,5,Mband,Turkey,2
45,6,Wax,Turkey,3
46,1,Mband,Higgins,12
46,2,Rpela,Higgins,7
46,3,SS,Higgins,1
46,3,SS,Tasmania,2
46,4,Control,Tasmania,2
46,5,Mleash,Higgins,2
46,6,Wax,Tasmania,1
47,1,Mleash,Tasmania,3
47,2,Rpela,unknown,1
47,2,Rpela,Tasmania,1
47,3,Wax,Tasmania,1
47,4,Mband,Higgins,1
47,5,Control,Tasmania,1
47,6,SS,Tasmania,3
48,1,SS,Tasmania,2
48,2,Wax,Butters,2
48,2,Wax,Tasmania,2
48,3,Control,Tasmania,1
48,4,Mband,Tasmania,3
48,5,Rpela,Higgins,1
48,6,Mleash,Butters,2
48,6,Mleash,Tasmania,4
49,1,Rpela,Higgins,3
49,2,Mband,unknown,1
49,2,Mband,Butters,8
49,3,SS,Butters,6
49,4,Control,unknown,1
49,4,Control,Butters,3
49,5,Wax,unknown,1
49,5,Wax,Dunk,3
49,5,Wax,Hamburglar,3
49,6,Mleash,Ziggy,6
50,1,Wax,Cupid,2
50,1,Wax,Everest,12
50,2,SS,Cupid,3
50,2,SS,Everest,3
50,2,SS,Hamburglar,3
50,3,Rpela,Spot,2
50,4,Mband,Hamburglar,3
50,5,Mleash,Everest,2
50,5,Mleash,Hamburglar,2
50,6,Control,Everest,8
50,6,Control,Hamburglar,1
50,6,Control,Spot,13
